sr b Me
6.237074230997626811e-01 3.804069065113585424e+01 4.481300605168104134e+00
6.259843994499182385e-01 3.793920300606517060e+01 4.489975886381902370e+00
6.282617868070529132e-01 3.783812000096947514e+01 4.498656495217611351e+00
6.305395828712874184e-01 3.773744002878416381e+01 4.507342336441385378e+00
6.328177853909822126e-01 3.763716148269708128e+01 4.516033315571635676e+00
6.350963921620187413e-01 3.753728275629129740e+01 4.524729338874107221e+00
6.373754010270898940e-01 3.743780224369407250e+01 4.533430313356168639e+00
6.396548098749996747e-01 3.733871833971286947e+01 4.542136146761960092e+00
6.419346166399738651e-01 3.724002943997404458e+01 4.550846747567069528e+00
6.442148193009783474e-01 3.714173394105628034e+01 4.559562024973422112e+00
6.464954158810490847e-01 3.704383024062330065e+01 4.568281888903990229e+00
6.487764044466285407e-01 3.694631673755159795e+01 4.577006249997708665e+00
6.510577831069143118e-01 3.684919183205911253e+01 4.585735019604064711e+00
6.533395500132138656e-01 3.675245392582496606e+01 4.594468109778253151e+00
6.556217033583102705e-01 3.665610142210995548e+01 4.603205433276044367e+00
6.579042413758365848e-01 3.656013272587833995e+01 4.611946903548296284e+00
6.601871623396572408e-01 3.646454624391152066e+01 4.620692434735987675e+00
6.624704645632603084e-01 3.636934038491827437e+01 4.629441941665334959e+00
6.647541463991561983e-01 3.627451355964527835e+01 4.638195339842678955e+00
6.670382062382868016e-01 3.618006418098990196e+01 4.646952545448931104e+00
6.693226425094407350e-01 3.608599066409897205e+01 4.655713475335120144e+00
6.716074536786786897e-01 3.599229142647647706e+01 4.664478047016890727e+00
6.738926382487653299e-01 3.589896488808106056e+01 4.673246178669748119e+00
6.761781947586102959e-01 3.580600947142236379e+01 4.682017789124214069e+00
6.784641217827167559e-01 3.571342360166459429e+01 4.690792797860106944e+00
6.807504179306370640e-01 3.562120570670995079e+01 4.699571125002506733e+00
6.830370818464369664e-01 3.552935421729554832e+01 4.708352691316274097e+00
6.853241122081666914e-01 3.543786756708227870e+01 4.717137418201125421e+00
6.876115077273406984e-01 3.534674419274096380e+01 4.725925227686784247e+00
6.898992671484229788e-01 3.525598253403425986e+01 4.734716042428363636e+00
6.921873892483206836e-01 3.516558103390286050e+01 4.743509785701152559e+00
6.944758728358859656e-01 3.507553813854674019e+01 4.752306381395673185e+00
6.967647167514221529e-01 3.498585229749864567e+01 4.761105754013358116e+00
6.990539198662003573e-01 3.489652196370332149e+01 4.769907828661462901e+00
7.013434810819796361e-01 3.480754559359167644e+01 4.778712531048326717e+00
7.036333993305365908e-01 3.471892164715664819e+01 4.787519787478272448e+00
7.059236735732001833e-01 3.463064858801612189e+01 4.796329524847638304e+00
7.082143028003941021e-01 3.454272488348803449e+01 4.805141670639430984e+00
7.105052860311844576e-01 3.445514900465439467e+01 4.813956152918923870e+00
7.127966223128355816e-01 3.436791942642801700e+01 4.822772900328825330e+00
7.150883107203710454e-01 3.428103462761224307e+01 4.831591842084996813e+00
7.173803503561408945e-01 3.419449309096525980e+01 4.840412907971550105e+00
7.196727403493963227e-01 3.410829330326154007e+01 4.849236028336095572e+00
7.219654798558685638e-01 3.402243375534376213e+01 4.858061134085797761e+00
7.242585680573563334e-01 3.393691294218355381e+01 4.866888156682398936e+00
7.265520041613157121e-01 3.385172936293531620e+01 4.875717028137796838e+00
7.288457874004604653e-01 3.376688152099033857e+01 4.884547681009461684e+00
7.311399170323634733e-01 3.368236792402474578e+01 4.893380048396338111e+00
7.334343923390675979e-01 3.359818708405208554e+01 4.902214063934157373e+00
7.357292126267001020e-01 3.351433751747320855e+01 4.911049661790857002e+00
7.380243772250931755e-01 3.343081774511419724e+01 4.919886776663164873e+00
7.403198854874104562e-01 3.334762629228594477e+01 4.928725343770750555e+00
7.426157367897777695e-01 3.326476168881873008e+01 4.937565298852891971e+00
7.449119305309213068e-01 3.318222246909796525e+01 4.946406578164904921e+00
7.472084661318078025e-01 3.310000717212629695e+01 4.955249118471634517e+00
7.495053430352940360e-01 3.301811434154289771e+01 4.964092857045400820e+00
7.518025607057777782e-01 3.293654252566597762e+01 4.972937731661350114e+00
