y_bar r2
6.329121104937553977e-01 1.384982127279559272e+00
6.363148583996357521e-01 1.390339844104358624e+00
6.397176063055162176e-01 1.395673506376002848e+00
6.431203542113965721e-01 1.400983208736635621e+00
6.465231021172770376e-01 1.406269047280738871e+00
6.499258500231573921e-01 1.411531119515946342e+00
6.533285979290378576e-01 1.416769524324103191e+00
6.567313458349182120e-01 1.421984361922633111e+00
6.601340937407986775e-01 1.427175733826192561e+00
6.635368416466790320e-01 1.432343742808605214e+00
6.669395895525594975e-01 1.437488492865138134e+00
6.703423374584398520e-01 1.442610089175032417e+00
6.737450853643202064e-01 1.447708638064471254e+00
6.771478332702006719e-01 1.452784246969803128e+00
6.805505811760810264e-01 1.457837024401104742e+00
6.839533290819614919e-01 1.462867079906195134e+00
6.873560769878418464e-01 1.467874524034896044e+00
6.907588248937223119e-01 1.472859468303763908e+00
6.941615727996026664e-01 1.477822025161122710e+00
6.975643207054831318e-01 1.482762307952577574e+00
7.009670686113634863e-01 1.487680430886773264e+00
7.043698165172439518e-01 1.492576509001734442e+00
7.077725644231243063e-01 1.497450658131440182e+00
7.111753123290047718e-01 1.502302994872922515e+00
7.145780602348851263e-01 1.507133636553716682e+00
7.179808081407654807e-01 1.511942701199786132e+00
7.213835560466459462e-01 1.516730307503788566e+00
7.247863039525263007e-01 1.521496574793802514e+00
7.281890518584067662e-01 1.526241623002553727e+00
7.315917997642871207e-01 1.530965572636942662e+00
7.349945476701675862e-01 1.535668544748150843e+00
7.383972955760479406e-01 1.540350660902015445e+00
7.418000434819284061e-01 1.545012043149972536e+00
7.452027913878087606e-01 1.549652814000412437e+00
7.486055392936892261e-01 1.554273096390467401e+00
7.520082871995695806e-01 1.558873013658220730e+00
7.554110351054499350e-01 1.563452689515399507e+00
7.588137830113304005e-01 1.568012248020427934e+00
7.622165309172107550e-01 1.572551813552039990e+00
7.656192788230912205e-01 1.577071510783293107e+00
7.690220267289715750e-01 1.581571464655978643e+00
7.724247746348520405e-01 1.586051800355561703e+00
7.758275225407323950e-01 1.590512643286372096e+00
7.792302704466128604e-01 1.594954119047560459e+00
7.826330183524932149e-01 1.599376353409202034e+00
7.860357662583736804e-01 1.603779472289021513e+00
7.894385141642540349e-01 1.608163601729355019e+00
7.928412620701343894e-01 1.612528867874792660e+00
7.962440099760148549e-01 1.616875396950177679e+00
7.996467578818952093e-01 1.621203315238840981e+00
8.030495057877756748e-01 1.625512749061562401e+00
8.064522536936560293e-01 1.629803824755714281e+00
8.098550015995364948e-01 1.634076668655045861e+00
8.132577495054168493e-01 1.638331407069692380e+00
8.166604974112973148e-01 1.642568166266744845e+00
8.200632453171776692e-01 1.646787072451137313e+00
8.234659932230581347e-01 1.650988251747045776e+00
8.268687411289384892e-01 1.655171830179533066e+00
8.302714890348189547e-01 1.659337933656849673e+00
8.336742369406993092e-01 1.663486687952917320e+00
8.370769848465796636e-01 1.667618218690292142e+00
8.404797327524601291e-01 1.671732651323530217e+00
8.438824806583404836e-01 1.675830111122957211e+00
8.472852285642209491e-01 1.679910723158781538e+00
8.506879764701013036e-01 1.683974612285604078e+00
8.540907243759817691e-01 1.688021903127393974e+00
8.574934722818621236e-01 1.692052720062601656e+00
8.608962201877425890e-01 1.696067187209999272e+00
8.642989680936229435e-01 1.700065428414569313e+00
8.677017159995034090e-01 1.704047567233980542e+00
8.711044639053837635e-01 1.708013726925198705e+00
8.745072118112641180e-01 1.711964030431651906e+00
8.779099597171445835e-01 1.715898600370664662e+00
8.813127076230249379e-01 1.719817559021286968e+00
8.847154555289054034e-01 1.723721028312357184e+00
8.881182034347857579e-01 1.727609129810936617e+00
8.915209513406662234e-01 1.731481984711214395e+00
8.949236992465465779e-01 1.735339713823535801e+00
8.983264471524270434e-01 1.739182437563889794e+00
9.017291950583073978e-01 1.743010275943672305e+00
9.051319429641878633e-01 1.746823348559746636e+00
9.085346908700682178e-01 1.750621774584785850e+00
9.119374387759485723e-01 1.754405672758017509e+00
9.153401866818290378e-01 1.758175161376318130e+00
9.187429345877093922e-01 1.761930358285232590e+00
9.221456824935898577e-01 1.765671380870713403e+00
9.255484303994702122e-01 1.769398346050988557e+00
9.289511783053506777e-01 1.773111370268678932e+00
9.323539262112310322e-01 1.776810569483145752e+00
9.357566741171114977e-01 1.780496059163303890e+00
9.391594220229918522e-01 1.784167954280397650e+00
9.425621699288723176e-01 1.787826369301392271e+00
9.459649178347526721e-01 1.791471418182325914e+00
9.493676657406331376e-01 1.795103214362097521e+00
9.527704136465134921e-01 1.798721870756432084e+00
9.561731615523938466e-01 1.802327499752060413e+00
9.595759094582743121e-01 1.805920213201177571e+00
9.629786573641546665e-01 1.809500122416213053e+00
9.663814052700351320e-01 1.813067338164684239e+00
9.697841531759154865e-01 1.816621970664315411e+00
9.731869010817959520e-01 1.820164129578520695e+00
9.765896489876763065e-01 1.823693924011817735e+00
9.799923968935567720e-01 1.827211462505841766e+00
9.833951447994371264e-01 1.830716853035238678e+00
9.867978927053175919e-01 1.834210203003870276e+00
9.902006406111979464e-01 1.837691619241202501e+00
9.936033885170783009e-01 1.841161207999036042e+00
9.970061364229587664e-01 1.844619074948243398e+00
1.000408884328839010e+00 1.848065325175756612e+00
1.003811632234719475e+00 1.851500063181729105e+00
1.007214380140599941e+00 1.854923392876945076e+00
1.010617128046480184e+00 1.858335417580378568e+00
1.014019875952360650e+00 1.861736240016764299e+00
1.017422623858241115e+00 1.865125962314615693e+00
1.020825371764121581e+00 1.868504686004240023e+00
1.024228119670001824e+00 1.871872512015901435e+00
1.027630867575882290e+00 1.875229540678212237e+00
1.031033615481762755e+00 1.878575871716626544e+00
1.034436363387642999e+00 1.881911604252118897e+00
1.037839111293523464e+00 1.885236836800054716e+00
1.041241859199403930e+00 1.888551667269032341e+00
1.044644607105284395e+00 1.891856192960066130e+00
1.048047355011164639e+00 1.895150510565855040e+00
1.051450102917045104e+00 1.898434716169997705e+00
1.054852850822925570e+00 1.901708905246688452e+00
1.058255598728806035e+00 1.904973172660124892e+00
1.061658346634686279e+00 1.908227612664486150e+00
1.065061094540566744e+00 1.911472318903621792e+00
1.068463842446447210e+00 1.914707384411110658e+00
1.071866590352327453e+00 1.917932901610409191e+00
1.075269338258207918e+00 1.921148962314915387e+00
1.078672086164088384e+00 1.924355657728462177e+00
1.082074834069968849e+00 1.927553078445626733e+00
1.085477581975849093e+00 1.930741314452270263e+00
1.088880329881729558e+00 1.933920455126219684e+00
1.092283077787610024e+00 1.937090589238024352e+00
1.095685825693490489e+00 1.940251804951578229e+00
1.099088573599370733e+00 1.943404189825306716e+00
1.102491321505251198e+00 1.946547830812872304e+00
1.105894069411131664e+00 1.949682814264549702e+00
1.109296817317011907e+00 1.952809225928220149e+00
1.112699565222892373e+00 1.955927150950603099e+00
1.116102313128772838e+00 1.959036673878686630e+00
1.119505061034653304e+00 1.962137878661091017e+00
1.122907808940533547e+00 1.965230848649549111e+00
1.126310556846414013e+00 1.968315666600471081e+00
1.129713304752294478e+00 1.971392414676511162e+00
1.133116052658174944e+00 1.974461174448330913e+00
1.136518800564055187e+00 1.977522026896322727e+00
1.139921548469935653e+00 1.980575052412391290e+00
1.143324296375816118e+00 1.983620330801898035e+00
1.146727044281696584e+00 1.986657941285585816e+00
1.150129792187576827e+00 1.989687962501561991e+00
1.153532540093457293e+00 1.992710472507211783e+00
1.156935287999337758e+00 1.995725548781570824e+00
1.160338035905218002e+00 1.998733268227298687e+00
1.163740783811098467e+00 2.001733707172894228e+00
1.167143531716978933e+00 2.004726941374942228e+00
1.170546279622859398e+00 2.007713046020499270e+00
1.173949027528739641e+00 2.010692095729348150e+00
1.177351775434620107e+00 2.013664164556340896e+00
1.180754523340500572e+00 2.016629325993946509e+00
1.184157271246381038e+00 2.019587652974617953e+00
1.187560019152261281e+00 2.022539217873283945e+00
1.190962767058141747e+00 2.025484092509897582e+00
1.194365514964022212e+00 2.028422348152119081e+00
1.197768262869902456e+00 2.031354055517786694e+00
1.201171010775782921e+00 2.034279284777428476e+00
1.204573758681663387e+00 2.037198105557226580e+00
1.207976506587543852e+00 2.040110586941525028e+00
1.211379254493424096e+00 2.043016797475519564e+00
1.214782002399304561e+00 2.045916805168069175e+00
1.218184750305185027e+00 2.048810677494484978e+00
1.221587498211065492e+00 2.051698481399237828e+00
1.224990246116945736e+00 2.054580283298814258e+00
1.228392994022826201e+00 2.057456149084563979e+00
1.231795741928706667e+00 2.060326144125536274e+00
1.235198489834586910e+00 2.063190333271334609e+00
1.238601237740467376e+00 2.066048780854985445e+00
1.242003985646347841e+00 2.068901550695978919e+00
1.245406733552228307e+00 2.071748706102987114e+00
1.248809481458108550e+00 2.074590309876896743e+00
1.252212229363989016e+00 2.077426424313796538e+00
1.255614977269869481e+00 2.080257111207876708e+00
1.259017725175749947e+00 2.083082431854379912e+00
1.262420473081630190e+00 2.085902447052659259e+00
1.265823220987510656e+00 2.088717217109134605e+00
1.269225968893391121e+00 2.091526801840151162e+00
1.272628716799271364e+00 2.094331260575230669e+00
1.276031464705151830e+00 2.097130652159944209e+00
1.279434212611032295e+00 2.099925034958915138e+00
1.282836960516912761e+00 2.102714466858859321e+00
1.286239708422793004e+00 2.105499005271595170e+00
1.289642456328673470e+00 2.108278707137210883e+00
1.293045204234553935e+00 2.111053628926901293e+00
1.296447952140434401e+00 2.113823826646083148e+00
1.299850700046314644e+00 2.116589355837468212e+00
1.303253447952195110e+00 2.119350271584013790e+00
1.306656195858075575e+00 2.122106628512085535e+00
1.310058943763955819e+00 2.124858480794395543e+00
1.313461691669836284e+00 2.127605882153033701e+00
1.316864439575716750e+00 2.130348885862577646e+00
1.320267187481597215e+00 2.133087544752984677e+00
1.323669935387477459e+00 2.135821911212816726e+00
1.327072683293357924e+00 2.138552037192103406e+00
1.330475431199238390e+00 2.141277974205438639e+00
1.333878179105118855e+00 2.143999773334908987e+00
1.337280927010999099e+00 2.146717485233301304e+00
1.340683674916879564e+00 2.149431160126860973e+00
1.344086422822760030e+00 2.152140847818483582e+00
1.347489170728640273e+00 2.154846597690561527e+00
1.350891918634520739e+00 2.157548458708056227e+00
1.354294666540401204e+00 2.160246479421561006e+00
1.357697414446281670e+00 2.162940707970027354e+00
1.361100162352161913e+00 2.165631192083993017e+00
1.364502910258042379e+00 2.168317979088386416e+00
1.367905658163922844e+00 2.171001115905428325e+00
1.371308406069803310e+00 2.173680649057778247e+00
1.374711153975683553e+00 2.176356624671225148e+00
1.378113901881564018e+00 2.179029088477783205e+00
1.381516649787444484e+00 2.181698085818445154e+00
1.384919397693324949e+00 2.184363661646244292e+00
1.388322145599205193e+00 2.187025860528976740e+00
1.391724893505085658e+00 2.189684726652303404e+00
1.395127641410966124e+00 2.192340303822244874e+00
1.398530389316846367e+00 2.194992635468457909e+00
1.401933137222726833e+00 2.197641764646740103e+00
1.405335885128607298e+00 2.200287734042110532e+00
1.408738633034487764e+00 2.202930585971499156e+00
1.412141380940368007e+00 2.205570362386416683e+00
1.415544128846248473e+00 2.208207104876048987e+00
1.418946876752128938e+00 2.210840854669879896e+00
1.422349624658009404e+00 2.213471652640321974e+00
1.425752372563889647e+00 2.216099539305714128e+00
1.429155120469770113e+00 2.218724554832971929e+00
1.432557868375650578e+00 2.221346739040152229e+00
1.435960616281530822e+00 2.223966131399504054e+00
1.439363364187411287e+00 2.226582771039865349e+00
1.442766112093291753e+00 2.229196696749368822e+00
1.446168859999172218e+00 2.231807946978293433e+00
1.449571607905052462e+00 2.234416559841641892e+00
1.452974355810932927e+00 2.237022573121635993e+00
1.456377103716813393e+00 2.239626024270542803e+00
1.459779851622693858e+00 2.242226950413261921e+00
1.463182599528574102e+00 2.244825388349829698e+00
1.466585347434454567e+00 2.247421374558013163e+00
1.469988095340335033e+00 2.250014945195822236e+00
1.473390843246215276e+00 2.252606136104261303e+00
1.476793591152095741e+00 2.255194982809813897e+00
1.480196339057976207e+00 2.257781520526763064e+00
1.483599086963856672e+00 2.260365784159863889e+00
1.487001834869736916e+00 2.262947808306853936e+00
1.490404582775617381e+00 2.265527627260812693e+00
1.493807330681497847e+00 2.268105275012859856e+00
1.497210078587378312e+00 2.270680785254174605e+00
1.500612826493258556e+00 2.273254191378878186e+00
1.504015574399139021e+00 2.275825526486267680e+00
1.507418322305019487e+00 2.278394823383058210e+00
1.510821070210899730e+00 2.280962114586008394e+00
1.514223818116780196e+00 2.283527432324097717e+00
1.517626566022660661e+00 2.286090808541188402e+00
1.521029313928541127e+00 2.288652274897886585e+00
1.524432061834421370e+00 2.291211862774311214e+00
1.527834809740301836e+00 2.293769603272075130e+00
1.531237557646182301e+00 2.296325527216783513e+00
1.534640305552062767e+00 2.298879665160294294e+00
1.538043053457943010e+00 2.301432047382808044e+00
1.541445801363823476e+00 2.303982703895242512e+00
1.544848549269703941e+00 2.306531664441505924e+00
1.548251297175584185e+00 2.309078958500483836e+00
1.551654045081464650e+00 2.311624615288590423e+00
1.555056792987345116e+00 2.314168663761753564e+00
1.558459540893225581e+00 2.316711132617321756e+00
1.561862288799105825e+00 2.319252050296719325e+00
1.565265036704986290e+00 2.321791444987286290e+00
1.568667784610866756e+00 2.324329344624407323e+00
1.572070532516747221e+00 2.326865776893636717e+00
1.575473280422627465e+00 2.329400769232780277e+00
1.578876028328507930e+00 2.331934348834042936e+00
1.582278776234388395e+00 2.334466542646153719e+00
1.585681524140268639e+00 2.336997377376045737e+00
1.589084272046149104e+00 2.339526879491224065e+00
1.592487019952029570e+00 2.342055075221742833e+00
